,rpersona,reduca
849,0051900881101,5.0
850,0051900881102,13.0
851,0051901241301,5.0
852,0051901241302,11.0
853,0051901242301,11.0
854,0051901242302,0.0
855,0051901243301,9.0
856,0051901243302,9.0
857,0051901243303,0.0
858,0051901243304,0.0
859,0051910761101,9.0
860,0051910761102,11.0
861,0051910891101,11.0
862,0051910891102,14.0
863,0051910891103,7.0
864,0051910891104,5.0
865,0051911161101,5.0
866,0051911161102,1.0
867,0051911301101,3.0
868,0051911301102,11.0
869,0051911301103,
870,0051911301104,7.0
871,0051911301105,
872,0051911301106,11.0
873,0051911301107,0.0
874,0051911301108,7.0
875,0051911301109,11.0
876,0051911301110,0.0
877,0051920091301,8.0
878,0051920091302,16.0
879,0051920091303,16.0
880,0051920091304,11.0
881,0051920091305,
882,0051920092301,11.0
883,0051920092302,8.0
884,0051920092303,11.0
885,0051920093301,16.0
886,0051920093302,16.0
887,0051920093303,0.0
888,0051920241101,11.0
889,0051920241102,15.0
890,0051920241103,11.0
891,0051920241104,11.0
892,0051920591101,16.0
893,0051920591102,11.0
894,0051920591103,
895,0051920721101,0.0
896,0051920721102,5.0
897,0051920721103,13.0
898,0051920721104,11.0
899,0051920721105,11.0
900,0051920721106,0.0
901,0051920851101,5.0
902,0051920851102,14.0
903,0051920851103,14.0
904,0051920851104,0.0
905,0051920851105,11.0
906,0051921011101,11.0
907,0051921011102,11.0
908,0051921011103,13.0
909,0051921011104,11.0
910,0051921011105,10.0
911,0051930281101,14.0
912,0051930281102,14.0
913,0051930281103,14.0
914,0051930281104,12.0
915,0051930381101,5.0
916,0051930381102,16.0
917,0051930381103,11.0
918,0051930381104,0.0
919,0051930501101,5.0
920,0051930501102,5.0
921,0051930611101,11.0
922,0051930611102,11.0
923,0051930611103,16.0
924,0051930611104,16.0
925,0051930731101,11.0
926,0051930731102,11.0
927,0051930731103,13.0
928,0051930731104,13.0
929,0051930731105,13.0
930,0051930831101,3.0
931,0051930931101,11.0
932,0051930931102,5.0
933,0051930931103,11.0
934,0051930931104,11.0
935,0051931161101,14.0
936,0051931161102,5.0
937,0051960021101,11.0
938,0051960021102,16.0
939,0051960021103,1.0
940,0051960331101,11.0
941,0051960331102,8.0
942,0051960331103,0.0
943,0051960331104,0.0
944,0051960331105,
945,0051960331106,0.0
946,0051960331107,9.0
947,0051960511101,0.0
948,0051960511102,8.0
949,0051960511103,0.0
950,0051960511104,9.0
951,0051960511105,1.0
952,0051960971101,11.0
953,0051960971102,11.0
954,0051960971103,8.0
955,0051960971104,0.0
956,0051961281101,9.0
957,0051961281102,8.0
958,0051961281103,
959,0052090131101,11.0
960,0052090131102,17.0
961,0052090251101,11.0
962,0052090251102,0.0
963,0052090251103,14.0
964,0052090381101,11.0
965,0052090381102,0.0
966,0052090381103,0.0
967,0052090511101,8.0
968,0052090511102,11.0
969,0052090511103,7.0
970,0052090631101,7.0
971,0052090631102,11.0
972,0052090631103,14.0
973,0052090631104,3.0
974,0052090901101,14.0
975,0052090901102,16.0
976,0052090901103,11.0
977,0052090901104,16.0
978,0052100051101,14.0
979,0052100051102,16.0
980,0052100051103,9.0
981,0052100051104,0.0
982,0052100051105,2.0
983,0052100251101,11.0
984,0052100251102,3.0
985,0052100461101,11.0
986,0052100461102,0.0
987,0052100461103,2.0
988,0052100571101,17.0
989,0052100571102,12.0
990,0052100671101,16.0
991,0052100671102,18.0
992,0052100671103,14.0
993,0052100671104,0.0
994,0052100771101,11.0
995,0052100771102,14.0
996,0052100871101,11.0
997,0052100871102,16.0
998,0052100981101,11.0
999,0052100981102,11.0
1000,0052100981103,11.0
1001,0052100981104,8.0
1002,0052100981105,0.0
1003,0052120111101,
1004,0052120491101,11.0
1005,0052120491102,0.0
1006,0052120491103,8.0
1007,0052120491104,
1008,0052120751101,5.0
1009,0052120751102,0.0
1010,0052120751103,0.0
1011,0052121011101,12.0
1012,0052121011102,16.0
1013,0052121011103,10.0
1014,0052121131101,11.0
1015,0052121131102,15.0
1016,0052121131103,14.0
1017,0052121131104,0.0
1018,0052150091101,14.0
1019,0052150091102,11.0
1020,0052150431101,11.0
1021,0052150431102,11.0
1022,0052150431103,15.0
1023,0052150431104,12.0
1024,0052150431105,
1025,0052150621101,8.0
1026,0052150621102,8.0
1027,0052150621103,0.0
1028,0052151131101,
1029,0052151471101,0.0
1030,0052151471102,11.0
1031,0052151471103,11.0
1032,0052151471104,2.0
1033,0052220071101,16.0
1034,0052220071102,14.0
1035,0052220191101,11.0
1036,0052220191102,10.0
1037,0052220191103,5.0
1038,0052220191104,11.0
1039,0052220191105,13.0
1040,0052220381101,14.0
1041,0052220381102,10.0
1042,0052220461101,5.0
1043,0052220461102,9.0
1044,0052220551101,14.0
1045,0052220551102,7.0
1046,0052220651101,11.0
1047,0052220651102,12.0
1048,0052220651103,16.0
1049,0052250131101,0.0
1050,0052250131102,11.0
1051,0052250131103,11.0
1052,0052250131104,11.0
1053,0052250131105,1.0
1054,0052250291101,5.0
1055,0052250291102,5.0
1056,0052250291103,16.0
1057,0052250461101,4.0
1058,0052250461102,5.0
1059,0052250461103,16.0
1060,0052250461104,0.0
1061,0052250461105,1.0
1062,0052250631101,2.0
1063,0052250631102,5.0
1064,0052250631103,11.0
1065,0052250631104,11.0
1066,0052250941101,11.0
1067,0052250941102,11.0
1068,0052250941103,14.0
1069,0052250941104,0.0
1070,0052251111101,11.0
1071,0052251111102,0.0
1072,0052310551101,9.0
1073,0052310551102,3.0
1074,0052311301101,11.0
1075,0052311301102,2.0
1076,0052311411101,0.0
1077,0052311411102,0.0
1078,0052311411103,0.0
1079,0052311411104,1.0
1080,0052311441101,5.0
1081,0052311451101,5.0
1082,0052311451102,0.0
1083,0052311501101,6.0
1084,0052311501102,2.0
1085,0052311551101,11.0
1086,0052350101101,0.0
1087,0052350101102,0.0
1088,0052350491101,0.0
1089,0052350491102,0.0
1090,0052350491103,0.0
1091,0052350491104,3.0
1092,0052350491105,
1093,0052350491107,8.0
1094,0052350551101,12.0
1095,0052350551102,1.0
1096,0052350621101,5.0
1097,0052350621102,16.0
1098,0052350711101,1.0
1099,0052350861101,9.0
1100,0052350861102,3.0
1101,0052370011101,0.0
1102,0052370011102,
1103,0052370141101,5.0
1104,0052370141102,11.0
1105,0052370141103,8.0
1106,0052370361101,12.0
1107,0052370361102,0.0
1108,0052370361103,10.0
1109,0052370361104,0.0
1110,0052370691101,18.0
1111,0052370691102,5.0
1112,0052370821101,
1113,0052370911101,11.0
1114,0052370911102,10.0
1115,0052370911103,14.0
1116,0052370911104,11.0
1117,0052370911105,0.0
1118,0052371031101,0.0
1119,0052371031102,0.0
1120,0052371031103,0.0
1121,0052371241101,1.0
1122,0052371241102,11.0
1123,0052440111101,11.0
1124,0052440111102,0.0
1125,0052440111103,17.0
1126,0052440251101,0.0
1127,0052440251102,0.0
1128,0052440251103,14.0
1129,0052440251104,16.0
1130,0052440251105,16.0
1131,0052440251106,11.0
1132,0052440391101,0.0
1133,0052440391102,0.0
1134,0052440391103,13.0
1135,0052440391104,10.0
1136,0052441051101,11.0
1137,0052441051102,11.0
1138,0052441051103,11.0
1139,0052441051104,11.0
1140,0052460081101,16.0
1141,0052460081102,14.0
1142,0052460081103,11.0
1143,0052460081104,11.0
1144,0052460081105,0.0
1145,0052460261101,11.0
1146,0052460261102,11.0
1147,0052460261103,3.0
1148,0052460391101,11.0
1149,0052460391102,7.0
1150,0052460571201,17.0
1151,0052460571202,9.0
1152,0052460571203,0.0
1153,0052460571204,16.0
1154,0052460572201,15.0
1155,0052460572202,14.0
1156,0052460572203,2.0
1157,0052460711101,9.0
1158,0052460711102,11.0
1159,0052460711103,3.0
1160,0052460861101,16.0
1161,0052460861102,16.0
1162,0052460861103,16.0
1163,0052510011101,
